asset_group,related_item,source_type,source_location,known_files_or_children,availability,next_action,site_ready_format
endowed-chairs-photo,Impact of Giving / Endowed Chairs,EPSS web image,https://epss.ucla.edu/wp-content/uploads/2026/07/chairs-installation-2026.jpg,"chairs-installation-2026.jpg, observed natural size 1600x900; credit Penny Jennings, UCLA Division of Physical Sciences.",Available,"Save locally instead of hotlinking; include caption/credit.","JPEG/WebP in app/public/assets/images/2026/giving/"
glazner-lecture,Allen Glazner,Box folder,Box: EPSS Photos > Alumni Lectures > Allen Glazner 2026,"Favorites-20260218T214743Z-1-001.zip; Originals-20260218T214754Z-1-001.zip",Available in browser,"Extract/select photos; separately confirm recording/embed link.","Selected JPEG/WebP plus optional embed URL."
schubert-materials,Gerald Schubert,Google Drive folder,https://drive.google.com/drive/folders/1YwZCYiOJJ1J3q4BmOonKaK8Bs4NrXA-a,"Schubert-Obit-UCLA_v3.docx; Schubert-Reminscinces-RAA19.pdf",Available,"Use obituary text; decide whether reminiscences become sidebar/quote material.","Markdown story packet; optional PDF link."
rimfax-mars-visual,RIMFAX,NASA Science image,https://science.nasa.gov/resource/portrait-of-perseverance-and-ingenuity-artists-concept/,"perseverance-ingenuity-mars-nasa-jpl.jpg staged at app/public/assets/images/2026/rimfax/ and source-review/claude-transfer/design-assets/; credit NASA/JPL-Caltech.",Available for design,"Use as the preferred RIMFAX Mars visual slot while source copy remains blocked.","JPG in app/public/assets/images/2026/rimfax/ plus transfer copy for Claude."
rimfax-location-diagram,RIMFAX,NASA Science image,https://science.nasa.gov/photojournal/rimfax-location-on-nasas-perseverance-rover-illustration/,"rimfax-location-perseverance-nasa-jpl.jpg staged at app/public/assets/images/2026/rimfax/ and source-review/claude-transfer/design-assets/; credit NASA/JPL-Caltech.",Available as supporting visual,"Use only if the design needs a RIMFAX-specific locator diagram instead of the Mars-surface hero.","JPG in app/public/assets/images/2026/rimfax/ plus transfer copy for Claude."
archive-newsletter-covers,Past Issues archive,EPSS public newsletter archive,https://epss.ucla.edu/department-newsletters/,"48 first-page cover JPGs rendered into source-review/claude-transfer/newsletter-covers/ with newsletter-covers-manifest.csv.",Available for design,"Give Claude the newsletter-covers folder or media addendum zip; decide final displayed years/order.","JPG covers plus CSV manifest."
local-placeholder-assets,Current site placeholders,Local repo,assets/images/ and app/public/assets/images/,"Current 2025-style placeholder images including p01_01.jpg, p02_04.jpg, p14_07.jpg.",Available but not final,"Replace for final issue; current hero image is portrait and too soft for wide crop.","Archive only; do not use as final 2026 source where stronger media exists."
archive-2025-walking-image,2025 archive / Jon reference,Local 2025 newsletter PDF,tmp/pdfs/2025.pdf,"Extracted page 12 image as source-review/raw-media/archive-2025/people-walking-into-infinity-2025.png and source-review/claude-transfer/design-assets/people-walking-into-infinity-2025.png; embedded PDF image is 852x1103.",Partial,"Use only as reference/backup; locate native 2025 InDesign/Canva/source asset for true print-resolution PNG or TIFF.","PNG reference/backup, not final print-resolution source."
email-story-docs-2026,Lizzie Su / Peng Ni / Edwin Schauble / Allen Glazner,Gmail links from Benjamin Paul,story links email received September 8 2026,"Google Docs story drafts for Lizzie Su, Peng Ni, Edwin Schauble, and Allen Glazner.",Available,"Peng Ni was marked fully approved; Lizzie Su, Edwin Schauble, and Allen Glazner need final approval before public launch. Allen title also needs final signoff.","Markdown pages in app/src/content/articles/ and Claude handoff copies in source-review/claude-transfer/story-copy-20260909/articles/"
peng-ni-email-photos,Peng Ni,Gmail attachment,potential peng ni photo email received September 8 2026,"DSC01542.jpg; Sapphire_2.jpg; DSC01512.jpg; DSC01513.jpg",Available and staged,"Confirm final captions/credit if needed; all four are currently wired into the Peng Ni story gallery.","JPEG in app/public/assets/images/2026/peng-ni/ and Vite public/assets/images/2026/peng-ni/"
John-He,Dispatches from the Field,User-provided DOCX,"/Users/abijahsimon/Downloads/Field newsletter, Spring 2026.docx","Field newsletter, Spring 2026.docx plus 12 extracted embedded media files.",Available and staged,"Confirm final photographer credits; Spring 2026 images are wired into homepage field mosaic and field dispatch gallery.","JPEG/PNG in app/public/assets/images/2026/field-spring-2026/ and Vite public/assets/images/2026/field-spring-2026/"
awards-portrait-set,Student and faculty awards,Public profile/photo sources,"EPSS profile pages; Samuel Yee personal site","14 original portrait files in source-review/raw-media/awards-portraits/originals/; 14 normalized 400x400 JPEGs in site asset folders and source-review/claude-transfer/design-assets/awards-portraits/.",Partial,"Portraits are wired into awards-2026.html wherever available; Ming-Chang Liu portrait remains missing; confirm whether each portrait is approved for publication and whether any credit language is required.","400x400 JPEG files in Vite public/assets/people/, app/public/assets/people/, source-review/claude-export/assets/people/, and Claude design-assets/awards-portraits/"
